id,text,tags
1_a,"……我在这里留下最后的笔记了。",#cgid:cg_past2,#char@1:b1,#istalking:b1,#texten:...I'm leaving my final note here.
2_a,"后面的路，就拜托了。",#char@1:b1,#istalking:b1,"#texten:The rest of the way, I'll leave to you."
3_na,"……",#cgid:cg_now_dark,#texten:......
4_na,"_99[k]r带着虚弱的§Ø_∆.µΩ走进了最终区域。","#texten:_99[k]r entered the final area, supporting the weakened §Ø_∆.µΩ."
5_na,"突然，核心亮了起来。","#texten:Suddenly, the core lit up."
6_na,"一个声音响起——",#texten:A voice spoke—
7_na,"不是任何已知的语言，但通过§Ø_∆.µΩ之前的翻译笔记，能大致理解。","#texten:Not in any known language, but roughly understandable through §Ø_∆.µΩ's translation notes."
8_na,"『有人来了。』",#texten:'Someone has come.'
9_na,"『我等了很久。』",#texten:'I have waited a long time.'
10_b,"这是什么……？",#char@1:a1,#char@2:b1,#istalking:a1,#texten:What is that...?
11_a,"是这个文明留下的……某种智能。",#char@1:a1,#char@2:b1,#istalking:b1,#texten:Something this civilization left behind... some kind of intelligence.
12_na,"『我是守门人。我的职责是判断——你们的文明，是否配得上带走我们的遗产。』","#texten:'I am the Gatekeeper. My purpose is to judge — whether your civilization deserves to take our legacy.'"
13_na,"『证明给我看。』",#texten:'Prove it to me.'
