id,text,tags
1_a,"如果来找我的人是_99[k]r就好了。",#cgid:cg_past2,#char@1:b1,#istalking:b1,"#texten:If the one coming to find me is _99[k]r, that would be nice."
2_a,"……我在说什么。都这种时候了。",#char@1:b1,#istalking:b1,#texten:...What am I saying. Not the time for this.
3_a,"不对。我就是想说这个。",#char@1:b1,#istalking:b1,#texten:No. That's exactly what I want to say.
4_a,"_99[k]r，如果你看到这条笔记——",#char@1:b1,#istalking:b1,"#texten:_99[k]r, if you see this note—"
5_a,"把这里的发现带回西格纳鲁就够了。",#char@1:b1,#istalking:b1,#texten:Just bring back what I found here to Signalru. That's enough.
6_a,"不用找我。",#char@1:b1,#istalking:b1,#texten:Don't come looking for me.
7_na,"……",#cgid:cg_now_dark,#texten:......
8_b,"这条笔记……§Ø_∆.µΩ写了我的名字。",#char@1:a1,#istalking:a1,#texten:This note... §Ø_∆.µΩ wrote my name.
9_b,"……",#char@1:a1,#texten:......
10_b,"§Ø_∆.µΩ说'不用找我'。",#char@1:a1,#istalking:a1,#texten:§Ø_∆.µΩ says 'don't come looking for me.'
11_b,"我偏要找。",#char@1:a1,#istalking:a1,#texten:I'm coming anyway.
